Protein,CellCondition,Cell_population,Timepoint,conditionID,condition_proteinID,Cell_proportion_raw,control_median3,Cell_proportion_norm1med3,T_statistic_all3,p_raw_all3,p_adj_all3
SLITRK4,Activated,T8,24hr,Activated 24hr,Activated 24hr SLITRK4,0.2732409505,0.27036526,0.010524375993927117,1.1916759126925236,0.24835825993184849,0.567915774295888
SLITRK4,Activated,B,4hr,Activated 4hr,Activated 4hr SLITRK4,0.11047317749999999,0.107069685,0.030808315439283838,0.9989680099887235,0.3335299544652355,0.6303866417134305
SLITRK4,Activated,B_activation,4hr,Activated 4hr,Activated 4hr SLITRK4,0.27967734272800854,0.2584974983272899,0.07572956820215652,0.99410572491611,0.3445943303656125,0.6402241493118178
SLITRK4,Activated,ConvB,4hr,Activated 4hr,Activated 4hr SLITRK4,0.0861367175,0.085766995,0.004292275242552662,0.06386050212413148,0.9501944602670925,0.9811723041462651
SLITRK4,Activated,ConvNK,4hr,Activated 4hr,Activated 4hr SLITRK4,0.0575543005,0.0612178535,-0.05984451905031266,-1.6329724321179246,0.12433962052915298,0.4005217975190729
SLITRK4,Activated,ConvT,4hr,Activated 4hr,Activated 4hr SLITRK4,0.43098083750000005,0.4317089275,-0.001686529866816245,0.2522299131223244,0.8034701792203165,0.9084330431723895
SLITRK4,Activated,M14,4hr,Activated 4hr,Activated 4hr SLITRK4,0.0991427495,0.0998607735,-0.00719025073443876,-0.8296266951532567,0.41663881126892244,0.6885898830739164
SLITRK4,Activated,M16,4hr,Activated 4hr,Activated 4hr SLITRK4,0.014935417,0.013076183,0.1244849072509994,NA,NA,NA
SLITRK4,Activated,Negs,4hr,Activated 4hr,Activated 4hr SLITRK4,0.0656484265,0.065821646,-0.0026316494728801216,0.1113805271395091,0.9125771181166912,0.9683191759423181
SLITRK4,Activated,NK,4hr,Activated 4hr,Activated 4hr SLITRK4,0.106127587,0.11114358,-0.045130748892558706,-1.7730191571312777,0.09674304633506992,0.35470037381377795
SLITRK4,Activated,NK_activation,4hr,Activated 4hr,Activated 4hr SLITRK4,0.920487666051484,0.832460326371414,0.09563119955498302,1.155523119559305,0.2687367512962918,0.5835426599576622
SLITRK4,Activated,PolarizedB,4hr,Activated 4hr,Activated 4hr SLITRK4,0.024293135,0.022384341000000002,0.078573391207022,1.451725039712719,0.1752093430016506,0.48202389386879446
SLITRK4,Activated,PolarizedNK,4hr,Activated 4hr,Activated 4hr SLITRK4,0.05216085,0.052739208999999995,-0.01096639504016819,-0.23188732256584987,0.8196748799982486,0.91906376586249
SLITRK4,Activated,PolarizedT,4hr,Activated 4hr,Activated 4hr SLITRK4,0.16957326350000002,0.167084634,0.014675836559576537,0.18213188539810302,0.857532409687005,0.9382312294014511
SLITRK4,Activated,T_activation,4hr,Activated 4hr,Activated 4hr SLITRK4,0.3934551974862712,0.38407240779305374,0.02384716164168826,0.008769673019172206,0.9930958580569245,0.9973430857860645
SLITRK4,Activated,T0,4hr,Activated 4hr,Activated 4hr SLITRK4,0.055623749,0.0547928315,0.014938178654588711,0.4079412356572115,0.6891264075159469,0.8559527186306348
SLITRK4,Activated,T4,4hr,Activated 4hr,Activated 4hr SLITRK4,0.28975660400000003,0.2892566795,0.001725325646072337,0.27683172682098045,0.7855587783290594,0.9015945959869147
SLITRK4,Activated,T8,4hr,Activated 4hr,Activated 4hr SLITRK4,0.256695373,0.2571123255,-0.0016216744926139755,0.3269602637760858,0.7485715187991665,0.8843091743633403
SLITRK4,Resting,B,24hr,Resting 24hr,Resting 24hr SLITRK4,0.087236659,0.091134612,-0.04277137867224375,0.19501699360567243,0.8475514218318303,0.9343812592452454
SLITRK4,Resting,B_activation,24hr,Resting 24hr,Resting 24hr SLITRK4,0.8698116100292101,0.7019246071266796,0.1930153621390413,3.3264083280016528,0.005617570643716514,0.06919311208762045
SLITRK4,Resting,ConvB,24hr,Resting 24hr,Resting 24hr SLITRK4,0.0471403455,0.0532931405,-0.11545191261528305,-1.822857277819554,0.08553840701374352,0.33054311890280524
SLITRK4,Resting,ConvNK,24hr,Resting 24hr,Resting 24hr SLITRK4,0.048894362999999996,0.059594602499999996,-0.17955048026371181,-5.84872170256156,5.0518922344381535e-6,0.0011169274467412353
SLITRK4,Resting,ConvT,24hr,Resting 24hr,Resting 24hr SLITRK4,0.400290298,0.39956714000000004,0.0018065838807813075,0.6135290744620825,0.5511159694462799,0.7769936450396249
SLITRK4,Resting,M14,24hr,Resting 24hr,Resting 24hr SLITRK4,0.084466998,0.08572885150000001,-0.014719122884785257,-1.0052044776928502,0.33128894473149473,0.6303866417134305
SLITRK4,Resting,M16,24hr,Resting 24hr,Resting 24hr SLITRK4,0.008739723,0.037002205499999996,-0.7638053493865387,NA,NA,NA
SLITRK4,Resting,Negs,24hr,Resting 24hr,Resting 24hr SLITRK4,0.075031497,0.06394903099999999,0.14770418348443737,5.54581640312629,3.894779322375836e-5,0.004306995912899321
SLITRK4,Resting,NK,24hr,Resting 24hr,Resting 24hr SLITRK4,0.127335373,0.1229135675,0.034725664957215,0.5547228937771373,0.5853152609925669,0.7999190574082679
SLITRK4,Resting,NK_activation,24hr,Resting 24hr,Resting 24hr SLITRK4,1.5842846978007274,1.1702523121454966,0.2613371108298795,7.530633773427143,2.2558281775732157e-6,8.664621343711852e-4
SLITRK4,Resting,PolarizedB,24hr,Resting 24hr,Resting 24hr SLITRK4,0.040776399000000005,0.035920714,0.11908077022691496,3.7959517928386193,0.0012578764042856427,0.032201635949712454
SLITRK4,Resting,PolarizedNK,24hr,Resting 24hr,Resting 24hr SLITRK4,0.08023361400000001,0.06577430249999999,0.1802151340210104,5.491822366314039,3.356590678384918e-5,0.00408161426491606
SLITRK4,Resting,PolarizedT,24hr,Resting 24hr,Resting 24hr SLITRK4,0.2125247925,0.2035539045,0.042211018745024816,2.6051914087300503,0.015881264495635997,0.12970065954862287
SLITRK4,Resting,T_activation,24hr,Resting 24hr,Resting 24hr SLITRK4,0.5326649489471116,0.5137376359297324,0.035533242903990014,1.2918982945961193,0.2140509016258713,0.5333727384775809
SLITRK4,Resting,T0,24hr,Resting 24hr,Resting 24hr SLITRK4,0.0669002565,0.06200615550000001,0.07315519036911312,0.8919392144499233,0.38130187100569657,0.668584102585331
SLITRK4,Resting,T4,24hr,Resting 24hr,Resting 24hr SLITRK4,0.286781683,0.282257988,0.01577400255371259,1.895990168320273,0.07503173985669753,0.3132548816769172
SLITRK4,Resting,T8,24hr,Resting 24hr,Resting 24hr SLITRK4,0.2603601675,0.2518402785,0.03272347334006075,2.23358728770519,0.04688634615681152,0.24158388528255423
SLITRK4,Resting,B,4hr,Resting 4hr,Resting 4hr SLITRK4,0.097382249,0.0973823945,-1.4941099029229988e-6,1.0534857014974504,0.3078554947859086,0.6167253404607329
SLITRK4,Resting,B_activation,4hr,Resting 4hr,Resting 4hr SLITRK4,0.3186067116198386,0.28950916995562237,0.0913274598525577,1.393701725791712,0.18194381713383875,0.49384750364899094
SLITRK4,Resting,ConvB,4hr,Resting 4hr,Resting 4hr SLITRK4,0.0751205335,0.07499563849999999,0.001662594688574912,0.4180961971239454,0.6819467850046881,0.8512521386458877
SLITRK4,Resting,ConvNK,4hr,Resting 4hr,Resting 4hr SLITRK4,0.0625138835,0.076596224,-0.1838516282473663,-5.725575124500706,2.9634226617362477e-5,0.0040039132851903084
SLITRK4,Resting,ConvT,4hr,Resting 4hr,Resting 4hr SLITRK4,0.4117875145,0.43374406899999995,-0.05062099073912628,-2.6150981143993404,0.019355051313891092,0.14575484730496419
SLITRK4,Resting,M14,4hr,Resting 4hr,Resting 4hr SLITRK4,0.11231448399999999,0.112513025,-0.0017646045868912545,0.8461829375176184,0.4039801055020138,0.6780397629957885
SLITRK4,Resting,M16,4hr,Resting 4hr,Resting 4hr SLITRK4,0.011823898,0.0159794195,-0.260054597102229,NA,NA,NA
SLITRK4,Resting,Negs,4hr,Resting 4hr,Resting 4hr SLITRK4,0.06599957000000001,0.063608669,0.0362260087452085,1.6895465306743707,0.10473843508887659,0.3654574951738133
SLITRK4,Resting,NK,4hr,Resting 4hr,Resting 4hr SLITRK4,0.1188110375,0.120395395,-0.0131596187711333,-0.8717798474118692,0.3989471716021563,0.6761251019766161
SLITRK4,Resting,NK_activation,4hr,Resting 4hr,Resting 4hr SLITRK4,0.9208965586919697,0.5837468870995881,0.3661102524601296,8.541047319875785,9.161346886017409e-7,5.570098906698585e-4
SLITRK4,Resting,PolarizedB,4hr,Resting 4hr,Resting 4hr SLITRK4,0.023425402999999997,0.021924569499999998,0.0640686309644278,1.6291288937218087,0.12056528774555811,0.3930873359330538
SLITRK4,Resting,PolarizedNK,4hr,Resting 4hr,Resting 4hr SLITRK4,0.0587167955,0.043480663,0.25948508208354115,7.359268161416746,2.1257933062679505e-6,8.664621343711852e-4
SLITRK4,Resting,PolarizedT,4hr,Resting 4hr,Resting 4hr SLITRK4,0.1821651675,0.1552011015,0.14801987871803213,2.387456634407113,0.03385276329425728,0.19820201900670312
SLITRK4,Resting,T_activation,4hr,Resting 4hr,Resting 4hr SLITRK4,0.4460212749102803,0.3597384456252047,0.1934500306121763,2.442721905668054,0.03091087710687581,0.18793813280980493
SLITRK4,Resting,T0,4hr,Resting 4hr,Resting 4hr SLITRK4,0.0668690715,0.06729434749999999,-0.006319639253504737,-0.8123084457766339,0.42737256442598026,0.6941826543789742
