Plate,Row,Column,final_ngul,band_intensity,rank_ngul,predict_MW,band_MW,band_notes
IV,C,7,88.78691696,5,0.644,99.56968,101,
IV,C,8,83.29786607,4,0.614,63.13294,65,
IV,C,9,11.91477681,2,0.163,119.0489,99,
IV,C,10,79.67761806,4,0.584,128.9257,109,
IV,C,11,1.982056978,0,0.11,109.8126,0,
IV,C,12,12.18886836,0,0.169,111.9815,0,
IV,D,1,18.01362146,2,0.202,41.67285,49,
IV,D,2,87.84269531,0,0.636,55.98167,51,other faint bands
IV,D,3,146.7220517,5,0.888,51.75976,53,
IV,D,4,34.05978605,4,0.312,215.6998,170,
IV,D,5,158.4718099,5,0.912,52.53407,61,other faint bands
IV,D,6,158.1073489,7,0.91,64.79345,61,
IV,D,7,0,0,0.001,164.6882,0,
IV,D,8,72.73804657,4,0.552,60.76396,59,
IV,D,9,54.73509046,3,0.425,88.41668,95,
IV,D,10,113.4624333,6,0.761,55.99969,57,
IV,D,11,117.0139868,4,0.776,53.22518,54,
IV,D,12,35.33938664,4,0.319,104.7301,118,
IV,E,1,68.51016282,5,0.526,48.80452,54,
IV,E,2,17.37220896,2,0.199,54.20096,80,
IV,E,3,66.26649629,5,0.507,120.1179,100,
IV,E,4,71.99662407,5,0.546,168.272,135,
IV,E,5,104.79991,6,0.726,71.06005,62,other faint bands
IV,E,6,61.05186372,4,0.47,124.3226,108,
IV,E,7,22.94469381,0,0.235,251.1219,0,
IV,E,8,57.19215747,5,0.444,71.86796,66,
IV,E,9,42.40683714,3,0.351,43.10794,49,doublet bands
IV,E,10,50.47604573,4,0.4,52.3435,61,
IV,E,11,21.09093472,0,0.223,166.1689,0,
IV,E,12,96.06148334,7,0.691,50.24243,52,
IV,F,1,41.29247896,0,0.346,159.478,110,other faint bands
IV,F,2,77.60834159,4,0.574,83.14772,67,
IV,F,3,28.83727413,1,0.278,68.63499,,maybe faint 64 that isn't background
IV,F,4,101.662747,5,0.717,58.83963,59,
IV,F,5,0,0,0.001,44.11326,0,
IV,F,6,91.76092931,5,0.663,48.91135,50,doublet bands
IV,F,7,120.4620911,7,0.803,64.23728,63,
