Uniprot_L,Uniprot_R,Gene_L,Gene_R,Kd_nM,Method,Confidence,log10_Kd_nM,Ref_csv,protein_identifier_1,transmembrane_1,peripheral_1,secreted_1,receptor_1,protein_identifier_2,transmembrane_2,peripheral_2,secreted_2,receptor_2,pair_label
P23510,P43489,TNFSF4,TNFRSF4,1,NA,NA,0.301029996,https://www.ncbi.nlm.nih.gov/pubmed/26721880,TNFL4_HUMAN,TRUE,FALSE,FALSE,FALSE,TNR4_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFRSF4 + TNFSF4
P32970,P26842,CD70,CD27,0.8,NA,NA,0.255272505,https://www.ncbi.nlm.nih.gov/pubmed/26721880,CD70_HUMAN,FALSE,FALSE,TRUE,FALSE,CD27_HUMAN,TRUE,FALSE,FALSE,TRUE,CD27 + CD70
P48023,P25445,FASLG,FAS,1.6,NA,NA,0.414973348,https://www.ncbi.nlm.nih.gov/pubmed/26721880,TNFL6_HUMAN,TRUE,FALSE,TRUE,FALSE,TNR6_HUMAN,TRUE,FALSE,TRUE,TRUE,FAS + FASLG
P41273,Q07011,TNFSF9,TNFRSF9,2,NA,NA,0.477121255,https://www.ncbi.nlm.nih.gov/pubmed/26721880,TNFL9_HUMAN,TRUE,FALSE,TRUE,FALSE,TNR9_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFRSF9 + TNFSF9
O43557,Q92956,TNFSF14,TNFRSF14,0.18,NA,NA,0.071882007,https://www.ncbi.nlm.nih.gov/pubmed/26721880,TNF14_HUMAN,TRUE,FALSE,TRUE,FALSE,TNR14_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFRSF14 + TNFSF14
P50591,O00220,TNFSF10,TNFRSF10A,4,NA,NA,0.698970004,https://www.ncbi.nlm.nih.gov/pubmed/26721880,TNF10_HUMAN,TRUE,FALSE,TRUE,FALSE,TR10A_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFRSF10A + TNFSF10
P50591,O14798,TNFSF10,TNFRSF10C,3.7,NA,NA,0.672097858,https://www.ncbi.nlm.nih.gov/pubmed/26721880,TNF10_HUMAN,TRUE,FALSE,TRUE,FALSE,TR10C_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFRSF10C + TNFSF10
Q9Y275,Q96RJ3,TNFSF13B,TNFRSF13C,0.13,NA,NA,0.053078443,https://www.ncbi.nlm.nih.gov/pubmed/26721880,TN13B_HUMAN,TRUE,FALSE,TRUE,FALSE,TR13C_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFRSF13C + TNFSF13B
Q9Y275,Q02223,TNFSF13B,TNFRSF17,0.22,NA,NA,0.086359831,https://www.ncbi.nlm.nih.gov/pubmed/26721880,TN13B_HUMAN,TRUE,FALSE,TRUE,FALSE,TNR17_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFRSF17 + TNFSF13B
Q9Y275,O14836,TNFSF13B,TNFRSF13B,0.27,NA,NA,0.103803721,"https://www.ncbi.nlm.nih.gov/pubmed/26721880,https://www.ncbi.nlm.nih.gov/pubmed/10956646",TN13B_HUMAN,TRUE,FALSE,TRUE,FALSE,TR13B_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFRSF13B + TNFSF13B
P19320,P13612,VCAM1,ITGA4B1,40,NA,NA,1.612783857,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4368157/,VCAM1_HUMAN,TRUE,FALSE,FALSE,FALSE,ITA4_HUMAN,TRUE,FALSE,FALSE,TRUE,ITGA4B1 + VCAM1
P19320,P26010,VCAM1,ITGA4B7,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/7534304,VCAM1_HUMAN,TRUE,FALSE,FALSE,FALSE,ITB7_HUMAN,TRUE,FALSE,FALSE,TRUE,ITGA4B7 + VCAM1
P05362,P20701,ICAM1,ITGALB2,500,NA,NA,2.699837726,https://www.ncbi.nlm.nih.gov/pubmed/9780171,ICAM1_HUMAN,TRUE,FALSE,FALSE,TRUE,ITAL_HUMAN,TRUE,FALSE,FALSE,TRUE,ICAM1 + ITGALB2
P13598,P20701,ICAM2,ITGALB2,600,NA,NA,2.778874472,https://www.ncbi.nlm.nih.gov/pubmed/11353828/,ICAM2_HUMAN,TRUE,FALSE,FALSE,FALSE,ITAL_HUMAN,TRUE,FALSE,FALSE,TRUE,ICAM2 + ITGALB2
