Gene.names,B.memory_activated,B.memory_steady.state,B.naive_activated,B.naive_steady.state,B.plasma_steady.state,Basophil_steady.state,Eosinophil_steady.state,mDC_activated,mDC_steady.state,MO.classical_activated,MO.classical_steady.state,MO.intermediate_steady.state,MO.nonclassical_steady.state,mTregs_activated,mTregs_steady.state,Neutrophil_steady.state,NK.bright_activated,NK.bright_steady.state,NK.dim_activated,NK.dim_steady.state,nTregs_activated,nTregs_steady.state,pDC_activated,pDC_steady.state,T4.CM_activated,T4.CM_steady.state,T4.EM_activated,T4.EM_steady.state,T4.EMRA_activated,T4.EMRA_steady.state,T4.naive_activated,T4.naive_steady.state,T8.CM_activated,T8.CM_steady.state,T8.EM_activated,T8.EM_steady.state,T8.EMRA_activated,T8.EMRA_steady.state,T8.naive_activated,T8.naive_steady.state,Th1_steady.state,Th17_steady.state,Th2_steady.state,Majority.protein.IDs,Uniprot,Symbol,hclust_order
PIGR,6567.75,0,4175.75,1755.75,1020.75,2135,0,0,2406.25,803,8365.75,1132,3938.75,719.3333333,690.5,42806,5457,501.25,8040,1187.75,9826.333333,53481,0,0,0,0,1065.75,1340.25,4803.75,3389.25,2585,1795.5,3846.75,375.5,829.75,0,4216.25,0,3199.25,0,2670.75,23650.75,1871.75,P01833,P01833,PIGR,452
SLC39A10,7479.25,240.75,1165.25,57,1998.25,3936.25,7689.5,5852.25,2881.5,8431.666667,880,3110.75,1124,2483,1028.25,66469.25,4405.666667,2915.25,4436.666667,896,1823.333333,865.5,2723.5,15375.5,4646.5,1220.25,7621,4033.75,5211.5,1902.5,6768.5,5810.75,13234.25,661.25,4872.5,2845.5,2428.25,2376,10668.5,907.25,1154.5,1075.75,943,Q9ULF5,Q9ULF5,S39AA,453
TMIGD2,0,0,2157.5,0,0,0,2009.25,0,0,9233.333333,0,0,4203,0,1579.75,47680.5,2103.666667,14477.75,0,17774.25,2906,2573,1230.5,11736.5,1604.75,1531.5,6832.5,1175.25,3705.5,863.75,16804.25,4996.25,658.5,0,4862.75,5040.5,5048.5,0,7569.5,5501.75,1531.25,2050.25,1852.25,Q96BF3-2,Q96BF3,TMIGD2,454
CASC4,5672,688.25,6993.25,2720.5,25220.5,2601,1488.5,4156,4020.5,4859.666667,15193.5,16263.75,16651,0,686,47556.75,10098.33333,3254.75,9228.666667,4733,5905.333333,128.25,15960.25,6153.25,16284,3545.75,12399,5260.5,6917.5,2429,7642.25,4334.25,11599.25,2782,9353,7201.25,19700.25,4286,7839,2946,2167.25,3569.25,4229.75,Q6P4E1;Q6P4E1-4;Q6P4E1-2;Q6P4E1-5,Q6P4E1,CASC4,455
TXNDC15,1405.25,0,0,441.5,0,4968.75,1573.5,7931.5,7987.25,4129,12298.75,32260,16101,0,5917.75,56930.75,7951.333333,8233.25,17411.33333,6967.75,8684.666667,843,6767,9512,10589.5,2852.5,13966.5,5278,14453.75,917.5,4314.75,3783.75,6941.75,5731,10411.75,6983,8205.75,7004.75,2743.75,1835.5,4378.75,4472,4632.75,Q96J42;H0Y997;Q96J42-2,Q96J42,TXNDC15,456
IL17RA,8350,0,3941.5,624.75,3348.75,9323.5,5422,7452.75,4741.5,3240,25720.5,5165.25,14432,893,1909.75,57239.25,7078.333333,3288,3136,2131,3179,1797.25,0,2079.75,4348.5,2869,4055.75,2190,2944.75,298.5,5090.25,3819.75,306,2266,1348.5,1780.5,3940.75,4253.25,3052.25,2185.75,2248,3148.25,1968.5,Q96F46;Q96F46-2,Q96F46,IL17RA,457
NFAM1,2589.5,1159,1264.75,0,0,0,410.75,0,11374.25,2567,33890.25,16294,15408.25,0,2333.5,40219.75,0,0,0,680,3336.666667,0,6135.25,1264.75,798,1602,1512.25,2879,8508,869.5,955,2119.25,325.75,2558,673,0,703,0,623.25,3031.5,0,878.5,1718.25,Q8NET5;F8WE95,Q8NET5,NFAM1,458
PLXDC2,0,604.75,0,0,3380.25,5425.75,2664.5,4142.5,19935.5,3388.666667,22739.25,22169.25,35464.25,1416.666667,1956.75,48265.25,0,113,0,117,0,4344.25,5116.5,1517.75,95,0,437.5,0,1411.25,7254.25,0,0,336,231.25,171,0,587.75,0,0,76.25,766.75,0,420.75,Q6UX71;Q6UX71-2,Q6UX71,PLXDC2,459
CDH5,0,0,11639.5,0,23739,1195.75,0,0,5506.25,0,0,13558,0,6916.333333,1514.75,34929.25,9372,0,10345.66667,217.75,1132.333333,8515,0,524,0,0,0,0,6977.75,3584.75,1691,0,1686.75,591.75,4716.5,0,12638.75,1007,3709.75,0,3138.75,0,690,P33151;P33151-2;I3L1J2,P33151,CDH5,460
RELL1,277,0,0,0,0,0,21666,4042.5,7479.25,0,1858.25,9568.75,2105.25,0,2516.75,33081.5,8640.666667,2609,6602.666667,111.25,10944,981.75,579.25,13387.25,3108,482.25,5453.5,1108.5,9278.75,687,1214.25,203.5,2760.25,3191,5566.5,1799,3607.5,455,503.5,991.75,536.25,473.75,952.75,Q8IUW5;D6RBN9,Q8IUW5,RELL1,461
